%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1521561295050861119,74843,1521561295090249592,imu_link,-0.0788026761373,-0.0472210698502,-0.848685553737,0.517603125164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000359918339075,-0.000949546100627,0.000452043232549,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81801289563,-0.0300441042018,9.79073007294,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295061258223,74844,1521561295103249592,imu_link,-0.0786731398466,-0.0471412598425,-0.848911562823,0.517259736339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59473968223e-05,-0.000715995998724,0.00043225283695,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80858113934,-0.0218114430051,9.7976532975,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295091618020,74845,1521561295116249592,imu_link,-0.0785372669024,-0.0470507639048,-0.849228604267,0.516768367261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000388639990497,-0.000529155914417,0.000416420520235,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.8010357342,-0.0152253139496,9.80319187723,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295109237267,74846,1521561295147249592,imu_link,-0.0783322298023,-0.0468037685813,-0.850062012288,0.515535355344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000122680673293,-0.000486106542593,0.000723022480823,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80218202013,-0.0195332171954,9.80427095728,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295110215936,74847,1521561295161249592,imu_link,-0.0782907223663,-0.04671867394,-0.850380139202,0.514938473702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000229181030508,-0.000983780347598,0.000223345074877,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80836628759,-0.0196276576934,9.80704958086,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295139394901,74848,1521561295173249592,imu_link,-0.0782655841221,-0.0466936075087,-0.850588544797,0.514600907859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031438131755,-0.00138191939753,-0.000176396855837,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81331370163,-0.0197032100929,9.80927247975,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295145426390,74849,1521561295186249592,imu_link,-0.0781200026129,-0.0468052834058,-0.8503108283,0.515071476496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.327373405e-05,-0.00148758533967,0.000142345968182,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80577946385,-0.0188059707604,9.81200847866,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295157871873,74850,1521561295199249592,imu_link,-0.0779640341581,-0.046998353765,-0.849671934426,0.516136041682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000137612335743,-0.00157211809463,0.000397340231197,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.79975207354,-0.0180881792838,9.81419727781,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295158865373,74851,1521561295213249592,imu_link,-0.0777551501828,-0.0472857167613,-0.848969877834,0.517296021611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000191898589256,-0.00174616690433,0.000920603458797,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.79971857195,-0.0041064160036,9.8226520755,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295181336608,74852,1521561295225249592,imu_link,-0.077654837053,-0.0474417508568,-0.848361938212,0.518292888491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034175019743,-0.00177898334944,6.2142045463e-05,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80256480996,-0.0130323003483,9.81888143637,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295199490504,74853,1521561295238249592,imu_link,-0.0776118466138,-0.0475349096016,-0.847710006474,0.519355579916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000461631485755,-0.00180523650592,-0.000624627095438,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.80484180041,-0.0201730079304,9.81586492501,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295200692934,74854,1521561295252249592,imu_link,-0.0774361649665,-0.0473124864582,-0.847731127732,0.519361471341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000238268703696,-0.00140054833316,-0.000748351252423,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.78415789453,-0.0244490529469,9.80722670207,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
